ID,post_author,post_date,post_date_gmt,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count,lead_gen_params,PREFIX
1,1,3/5/19 18:04,3/5/19 18:04,Hello world!,,publish,open,open,,hello-world,,,3/5/19 18:04,3/5/19 18:04,,0,https://cystic-fibrosis.com/?p=1,0,post,,1,NULL,cf
2,39,3/5/19 18:04,3/5/19 18:04,Sample Page,,publish,closed,open,,sample-page,,,7/16/19 12:21,7/16/19 16:21,,0,https://cystic-fibrosis.com/?page_id=2,0,page,,0,NULL,cf
3,39,3/5/19 18:04,3/5/19 18:04,Privacy Policy,,draft,closed,open,,privacy-policy,,,7/16/19 12:20,7/16/19 16:20,,0,https://cystic-fibrosis.com/?page_id=3,0,page,,0,NULL,cf
4,1,3/5/19 18:05,,Auto Draft,,auto-draft,open,open,,,,,3/5/19 18:05,,,0,https://cystic-fibrosis.com/?p=4,0,post,,0,NULL,cf
5,39,3/5/19 18:23,3/5/19 18:23,Member Login,,publish,closed,closed,,member-login,,,8/9/19 11:38,8/9/19 15:38,,0,https://cystic-fibrosis.com/?page_id=5,0,page,,0,NULL,cf
6,39,3/5/19 18:23,3/5/19 18:23,Activity,,publish,closed,closed,,activity,,,8/9/19 11:37,8/9/19 15:37,,0,https://cystic-fibrosis.com/?page_id=6,0,page,,0,NULL,cf
7,39,3/5/19 18:23,3/5/19 18:23,Members,,publish,closed,closed,,members,,,8/9/19 11:38,8/9/19 15:38,,0,https://cystic-fibrosis.com/?page_id=7,0,page,,0,NULL,cf
24,0,3/5/19 19:12,3/5/19 19:12,Refer a Friend,,publish,closed,closed,,refer-a-friend,,,3/5/19 19:12,3/5/19 19:12,,0,https://cystic-fibrosis.com/?page_id=24,0,page,,0,NULL,cf
25,39,3/5/18 19:13,3/5/18 19:13,About Us,,publish,closed,closed,,about-us,,,7/16/19 12:17,7/16/19 16:17,,0,https://cystic-fibrosis.com/?page_id=25,0,page,,0,NULL,cf
26,39,3/5/18 19:13,3/5/18 19:13,Activate,,publish,closed,closed,,activate,,,7/16/19 12:18,7/16/19 16:18,,0,https://cystic-fibrosis.com/?page_id=26,0,page,,0,NULL,cf
27,39,3/5/18 19:13,3/5/18 19:13,Community Rules,,publish,closed,closed,,community-rules,,,7/16/19 12:18,7/16/19 16:18,,0,https://cystic-fibrosis.com/?page_id=27,0,page,,0,NULL,cf
28,39,3/5/18 19:13,3/5/18 19:13,Contact Us,,publish,closed,closed,,contact-us,,,7/16/19 12:18,7/16/19 16:18,,0,https://cystic-fibrosis.com/?page_id=28,0,page,,0,NULL,cf
29,39,3/5/18 19:13,3/5/18 19:13,Access Denied,,publish,closed,closed,,not-acceptable,,,8/9/19 11:37,8/9/19 15:37,,0,https://cystic-fibrosis.com/?page_id=29,0,page,,0,NULL,cf
30,39,3/5/18 19:13,3/5/18 19:13,Terms of Use,,publish,closed,closed,,terms-of-use,,,7/16/19 12:21,7/16/19 16:21,,0,https://cystic-fibrosis.com/?page_id=30,0,page,,0,NULL,cf
31,39,3/5/18 19:13,3/5/18 19:13,Register,,publish,closed,closed,,register,,,7/16/19 12:21,7/16/19 16:21,,0,https://cystic-fibrosis.com/?page_id=31,0,page,,0,NULL,cf
32,39,3/5/18 19:13,3/5/18 19:13,Subscribe,,publish,closed,closed,,subscribe,,,7/16/19 12:21,7/16/19 16:21,,0,https://cystic-fibrosis.com/?page_id=32,0,page,,0,NULL,cf
33,39,3/5/18 19:13,3/5/18 19:13,,,publish,closed,closed,,unsubscribe,,,7/16/19 12:17,7/16/19 16:17,,0,https://cystic-fibrosis.com/?page_id=33,0,page,,0,NULL,cf
34,2,3/6/19 18:19,,Auto Draft,,auto-draft,open,open,,,,,3/6/19 18:19,,,0,https://cystic-fibrosis.com/?p=34,0,post,,0,NULL,cf
35,3,3/12/19 18:50,,Auto Draft,,auto-draft,open,open,,,,,3/12/19 18:50,,,0,https://cystic-fibrosis.com/?p=35,0,post,,0,NULL,cf
36,15,3/15/19 15:32,,Auto Draft,,auto-draft,open,closed,,,,,3/15/19 15:32,,,0,https://cystic-fibrosis.com/?p=36,0,post,,0,NULL,cf
37,6,3/15/19 15:49,,Auto Draft,,auto-draft,open,closed,,,,,3/15/19 15:49,,,0,https://cystic-fibrosis.com/?p=37,0,post,,0,NULL,cf
38,16,3/15/19 15:58,,Auto Draft,,auto-draft,open,closed,,,,,3/15/19 15:58,,,0,https://cystic-fibrosis.com/?p=38,0,post,,0,NULL,cf
39,4,3/18/19 9:09,,Auto Draft,,auto-draft,open,closed,,,,,3/18/19 9:09,,,0,https://cystic-fibrosis.com/?p=39,0,post,,0,NULL,cf
40,7,3/18/19 9:17,,Auto Draft,,auto-draft,open,closed,,,,,3/18/19 9:17,,,0,https://cystic-fibrosis.com/?p=40,0,post,,0,NULL,cf
41,8,3/18/19 10:17,,Auto Draft,,auto-draft,open,closed,,,,,3/18/19 10:17,,,0,https://cystic-fibrosis.com/?p=41,0,post,,0,NULL,cf
42,5,3/18/19 11:02,,Auto Draft,,auto-draft,open,closed,,,,,3/18/19 11:02,,,0,https://cystic-fibrosis.com/?p=42,0,post,,0,NULL,cf
43,9,3/18/19 13:55,,Auto Draft,,auto-draft,open,closed,,,,,3/18/19 13:55,,,0,https://cystic-fibrosis.com/?p=43,0,post,,0,NULL,cf
44,21,3/18/19 16:03,,Auto Draft,,auto-draft,open,closed,,,,,3/18/19 16:03,,,0,https://cystic-fibrosis.com/?p=44,0,post,,0,NULL,cf
45,25,3/18/19 16:31,,Auto Draft,,auto-draft,open,closed,,,,,3/18/19 16:31,,,0,https://cystic-fibrosis.com/?p=45,0,post,,0,NULL,cf
46,26,3/18/19 16:47,,Auto Draft,,auto-draft,open,closed,,,,,3/18/19 16:47,,,0,https://cystic-fibrosis.com/?p=46,0,post,,0,NULL,cf
47,23,3/18/19 17:12,,Auto Draft,,auto-draft,open,closed,,,,,3/18/19 17:12,,,0,https://cystic-fibrosis.com/?p=47,0,post,,0,NULL,cf
48,30,3/19/19 9:00,,Auto Draft,,auto-draft,open,closed,,,,,3/19/19 9:00,,,0,https://cystic-fibrosis.com/?p=48,0,post,,0,NULL,cf
49,32,4/30/19 15:10,,Auto Draft,,auto-draft,open,closed,,,,,4/30/19 15:10,,,0,https://cystic-fibrosis.com/?p=49,0,post,,0,NULL,cf
50,35,7/2/19 10:19,,Auto Draft,,auto-draft,open,closed,,,,,7/2/19 10:19,,,0,https://cystic-fibrosis.com/?p=50,0,post,,0,NULL,cf
51,17,7/2/19 14:12,,Auto Draft,,auto-draft,open,closed,,,,,7/2/19 14:12,,,0,https://cystic-fibrosis.com/?p=51,0,post,,0,NULL,cf
52,37,7/8/19 11:34,,Auto Draft,,auto-draft,open,closed,,,,,7/8/19 11:34,,,0,https://cystic-fibrosis.com/?p=52,0,post,,0,NULL,cf
53,39,8/15/19 16:36,8/15/19 20:36,What is Cystic Fibrosis?,,publish,closed,closed,,basics,,,8/20/19 13:28,8/20/19 17:28,,0,https://cystic-fibrosis.com/?page_id=53,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
54,39,8/15/19 16:41,8/15/19 20:41,How Common is Cystic Fibrosis?,,publish,closed,closed,,statistics,,,8/20/19 14:20,8/20/19 18:20,,0,https://cystic-fibrosis.com/?page_id=54,0,page,,0, showIfLoggedIn=â€œ0â€ù campaign=â€œshortcodeâ€ù source=â€œsiteâ€ù,cf
55,39,8/15/19 16:46,8/15/19 20:46,How Does Cystic Fibrosis Develop?,,publish,closed,closed,,pathophysiology,,,8/19/19 15:38,8/19/19 19:38,,0,https://cystic-fibrosis.com/?page_id=55,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
57,39,8/15/19 16:51,8/15/19 20:51,What Causes Cystic Fibrosis?,,publish,closed,closed,,causes,,,8/20/19 13:03,8/20/19 17:03,,0,https://cystic-fibrosis.com/?page_id=57,0,page,,0, showIfLoggedIn=â€œ0â€ù campaign=â€œshortcodeâ€ù source=â€œsiteâ€ù,cf
58,35,7/30/19 9:42,7/30/19 13:42,What Causes Cystic Fibrosis?,,inherit,closed,closed,,57-autosave-v1,,,7/30/19 9:42,7/30/19 13:42,,57,https://cystic-fibrosis.com/uncategorized/57-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
59,39,7/30/19 9:54,7/30/19 13:54,How Long Do Patients with Cystic Fibrosis Live?,,publish,closed,closed,,life-expectancy,,,8/19/19 15:37,8/19/19 19:37,,0,https://cystic-fibrosis.com/?page_id=59,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
60,39,7/11/19 18:04,7/11/19 22:04,Special Populations Affected by Cystic Fibrosis,,publish,closed,closed,,special-populations,,,8/19/19 15:40,8/19/19 19:40,,0,https://cystic-fibrosis.com/?page_id=60,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
61,39,7/10/19 19:53,7/10/19 23:53,"How Are Babies, Toddlers & Preschoolers Affected by Cystic Fibrosis?",,publish,closed,closed,,infants-toddlers,,,8/19/19 15:40,8/19/19 19:40,,0,https://cystic-fibrosis.com/?page_id=61,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
62,35,7/10/19 19:52,7/10/19 23:52,"How Are Babies, Toddlers & Preschoolers Affected by Cystic Fibrosis?",,inherit,closed,closed,,61-autosave-v1,,,7/10/19 19:52,7/10/19 23:52,,61,https://cystic-fibrosis.com/uncategorized/61-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
63,39,8/16/19 11:07,8/16/19 15:07,How Are Teens and Young Adults Affected by Cystic Fibrosis?,,publish,closed,closed,,teens-young-adults,,,8/19/19 15:41,8/19/19 19:41,,0,https://cystic-fibrosis.com/?page_id=63,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
64,39,8/16/19 12:16,8/16/19 16:16,How Are Men Affected by Cystic Fibrosis?,,publish,closed,closed,,men,,,8/19/19 15:42,8/19/19 19:42,,0,https://cystic-fibrosis.com/?page_id=64,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
65,35,7/10/19 20:24,7/11/19 0:24,How Are Men Affected by Cystic Fibrosis?,,inherit,closed,closed,,64-autosave-v1,,,7/10/19 20:24,7/11/19 0:24,,64,https://cystic-fibrosis.com/uncategorized/64-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
66,39,8/16/19 12:19,8/16/19 16:19,How Are Women Affected by Cystic Fibrosis?,,publish,closed,closed,,women,,,8/19/19 15:42,8/19/19 19:42,,0,https://cystic-fibrosis.com/?page_id=66,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
67,34,7/11/19 16:58,,Auto Draft,,auto-draft,open,closed,,,,,7/11/19 16:58,,,0,https://cystic-fibrosis.com/?p=67,0,post,,0,NULL,cf
68,34,7/11/19 17:00,,Auto Draft,,auto-draft,closed,closed,,,,,7/11/19 17:00,,,0,https://cystic-fibrosis.com/?page_id=68,0,page,,0,NULL,cf
69,39,7/15/19 15:57,7/15/19 19:57,What are Common Respiratory Complications of Cystic Fibrosis?,,publish,closed,closed,,respiratory-complications,,,8/19/19 15:44,8/19/19 19:44,,0,https://cystic-fibrosis.com/?page_id=69,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
70,39,8/19/19 10:56,8/19/19 14:56,What Type of Doctor Can Diagnose and Treat Cystic Fibrosis?,,publish,closed,closed,,healthcare-team,,,8/19/19 15:42,8/19/19 19:42,,0,https://cystic-fibrosis.com/?page_id=70,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
71,35,7/11/19 17:48,7/11/19 21:48,Special Populations Affected by Cystic Fibrosis,,inherit,closed,closed,,60-autosave-v1,,,7/11/19 17:48,7/11/19 21:48,,60,https://cystic-fibrosis.com/uncategorized/60-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
72,35,7/11/19 21:07,7/12/19 1:07,What Type of Doctor Can Diagnose and Treat Cystic Fibrosis?,,inherit,closed,closed,,70-autosave-v1,,,7/11/19 21:07,7/12/19 1:07,,70,https://cystic-fibrosis.com/uncategorized/70-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
73,35,7/11/19 21:07,,Auto Draft,,auto-draft,closed,closed,,,,,7/11/19 21:07,,,0,https://cystic-fibrosis.com/?page_id=73,0,page,,0,NULL,cf
74,39,8/16/19 15:41,8/16/19 19:41,Cystic Fibrosis Myths and Misconceptions,,publish,closed,closed,,myths,,,8/19/19 15:43,8/19/19 19:43,,0,https://cystic-fibrosis.com/?page_id=74,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
76,39,7/12/19 9:58,7/12/19 13:58,What are Common Symptoms of Cystic Fibrosis?,,publish,closed,closed,,symptoms,,,8/16/19 12:33,8/16/19 16:33,,0,https://cystic-fibrosis.com/?page_id=76,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
78,39,8/16/19 12:36,8/16/19 16:36,Cystic Fibrosis and Salty Skin,,publish,closed,closed,,salty-skin,,,8/16/19 12:36,8/16/19 16:36,,76,https://cystic-fibrosis.com/?page_id=78,0,page,,0,NULL,cf
79,35,7/11/19 22:49,7/12/19 2:49,Cystic Fibrosis and Salty Skin,,inherit,closed,closed,,78-autosave-v1,,,7/11/19 22:49,7/12/19 2:49,,78,https://cystic-fibrosis.com/uncategorized/78-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
80,39,8/16/19 12:39,8/16/19 16:39,What is Meconium Ileus?,,publish,closed,closed,,meconium-ileus,,,8/16/19 12:40,8/16/19 16:40,,76,https://cystic-fibrosis.com/?page_id=80,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
