ID,post_author,post_date,post_date_gmt,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count,lead_gen_params,lead_gen_position,PREFIX
3,1,12/4/18 23:45,,Auto Draft,,auto-draft,open,open,,,,,12/4/18 23:45,,,0,https://maculardegeneration.net/?p=3,0,post,,0,NULL,NULL,macd
4,27,12/4/18 23:47,12/4/18 23:47,Member Login,,publish,closed,closed,,member-login,,,3/15/19 15:37,3/15/19 19:37,,0,https://maculardegeneration.net/?page_id=4,0,page,,0,NULL,NULL,macd
5,27,12/4/18 23:47,12/4/18 23:47,Activity,,publish,closed,closed,,activity,,,3/11/19 14:00,3/11/19 18:00,,0,https://maculardegeneration.net/?page_id=5,0,page,,0,NULL,NULL,macd
6,27,12/4/18 23:47,12/4/18 23:47,Members,,publish,closed,closed,,members,,,2/18/19 9:53,2/18/19 14:53,,0,https://maculardegeneration.net/?page_id=6,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.009,macd
23,27,12/4/18 23:48,12/4/18 23:48,Refer a Friend,,publish,closed,closed,,refer-a-friend,,,3/11/19 14:00,3/11/19 18:00,,0,https://maculardegeneration.net/refer-a-friend/,0,page,,0,NULL,NULL,macd
24,27,12/4/17 23:48,12/4/17 23:48,About Us,,publish,closed,closed,,about-us,,,3/11/19 12:44,3/11/19 16:44,,0,https://maculardegeneration.net/about-us/,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9674,macd
25,27,12/4/17 23:48,12/4/17 23:48,Activate,,publish,closed,closed,,activate,,,3/11/19 13:59,3/11/19 17:59,,0,https://maculardegeneration.net/activate/,0,page,,0,NULL,NULL,macd
26,27,12/4/17 23:48,12/4/17 23:48,Community Rules,,publish,closed,closed,,community-rules,,,2/18/19 10:22,2/18/19 15:22,,0,https://maculardegeneration.net/refer-a-friend/community-rules/,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9819,macd
27,27,12/4/17 23:48,12/4/17 23:48,Contact Us,,publish,closed,closed,,contact-us,,,2/18/19 10:02,2/18/19 15:02,,0,https://maculardegeneration.net/contact-us/,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.8145,macd
28,27,12/4/17 23:48,12/4/17 23:48,Privacy Policy,,publish,closed,closed,,privacy-policy,,,2/18/19 10:15,2/18/19 15:15,,0,https://maculardegeneration.net/privacy-policy/,0,page,,0,NULL,NULL,macd
29,27,12/4/17 23:48,12/4/17 23:48,Terms of Use,,publish,closed,closed,,terms-of-use,,,2/18/19 14:33,2/18/19 19:33,,0,https://maculardegeneration.net/terms-of-use/,0,page,,0,NULL,NULL,macd
30,27,12/4/17 23:48,12/4/17 23:48,Register,,publish,closed,closed,,register,,,3/11/19 14:00,3/11/19 18:00,,0,https://maculardegeneration.net/register/,0,page,,0,NULL,NULL,macd
31,27,12/4/17 23:48,12/4/17 23:48,Subscribe,,publish,closed,closed,,subscribe,,,4/22/19 15:31,4/22/19 19:31,,0,https://maculardegeneration.net/subscribe/,0,page,,0," showIfLoggedIn=\1\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.7722,macd
32,27,12/4/17 23:48,12/4/17 23:48,,,publish,closed,closed,,unsubscribe,,,3/11/19 13:59,3/11/19 17:59,,0,https://maculardegeneration.net/unsubscribe/,0,page,,0,NULL,NULL,macd
33,3,12/5/18 14:40,,Auto Draft,,auto-draft,open,open,,,,,12/5/18 14:40,,,0,https://maculardegeneration.net/?p=33,0,post,,0,NULL,NULL,macd
34,20,12/17/18 16:03,,Auto Draft,,auto-draft,open,closed,,,,,12/17/18 16:03,,,0,https://maculardegeneration.net/?p=34,0,post,,0,NULL,NULL,macd
